[Node 3] 2025/12/10 19:11:41.426641 Node 3: initializing at localhost:8003 with 9 peers
[Node 3] 2025/12/10 19:11:41.426779 [Database] opening BoltDB at data/node-3.db
[Node 3] 2025/12/10 19:11:41.479567 Node 3: BoltDB initialized at data/node-3.db
[Node 3] 2025/12/10 19:11:41.479734 Node 3: no shard overrides loaded (open config/overrides.json: no such file or directory)
[Node 3] 2025/12/10 19:11:41.483629 [Database] client 1 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.483628 Node 3: leader timeout monitor running
[Node 3] 2025/12/10 19:11:41.498431 [Database] client 2 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.515368 [Database] client 3 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.532372 [Database] client 4 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.546609 [Database] client 5 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.565407 [Database] client 6 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.582427 [Database] client 7 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.601512 [Database] client 8 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.620466 [Database] client 9 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.638513 [Database] client 10 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.653505 [Database] client 11 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.672696 [Database] client 12 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.687530 [Database] client 13 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.705546 [Database] client 14 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.725604 [Database] client 15 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.741449 [Database] client 16 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.755535 [Database] client 17 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.771583 [Database] client 18 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.787586 [Database] client 19 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.803527 [Database] client 20 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.817558 [Database] client 21 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.833514 [Database] client 22 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.850607 [Database] client 23 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.868536 [Database] client 24 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.883454 [Database] client 25 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.898436 [Database] client 26 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.916563 [Database] client 27 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.931536 [Database] client 28 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.944542 [Database] client 29 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.960525 [Database] client 30 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.975530 [Database] client 31 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:41.991412 [Database] client 32 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.009542 [Database] client 33 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.022445 [Database] client 34 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.040514 [Database] client 35 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.053462 [Database] client 36 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.066503 [Database] client 37 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.085496 [Database] client 38 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.099531 [Database] client 39 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.118546 [Database] client 40 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.131592 [Database] client 41 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.149557 [Database] client 42 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.163557 [Database] client 43 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.182589 [Database] client 44 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.196501 [Database] client 45 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.215565 [Database] client 46 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.228577 [Database] client 47 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.247558 [Database] client 48 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.265595 [Database] client 49 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.279556 [Database] client 50 initialized with balance 10 (bolt)
[Node 3] 2025/12/10 19:11:42.303459 [Database] client 51 initialized with balance 10 (bolt)
