[Node 5] 2025/12/10 19:11:45.991843 Node 5: initializing at localhost:8005 with 9 peers
[Node 5] 2025/12/10 19:11:45.994804 [Database] opening BoltDB at data/node-5.db
[Node 5] 2025/12/10 19:11:46.053517 Node 5: BoltDB initialized at data/node-5.db
[Node 5] 2025/12/10 19:11:46.053735 Node 5: no shard overrides loaded (open config/overrides.json: no such file or directory)
[Node 5] 2025/12/10 19:11:46.056760 [Database] client 3001 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.056768 Node 5: leader timeout monitor running
[Node 5] 2025/12/10 19:11:46.077533 [Database] client 3002 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.093515 [Database] client 3003 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.116557 [Database] client 3004 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.132590 [Database] client 3005 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.150598 [Database] client 3006 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.170598 [Database] client 3007 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.188484 [Database] client 3008 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.208437 [Database] client 3009 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.229467 [Database] client 3010 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.251605 [Database] client 3011 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.274599 [Database] client 3012 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.292513 [Database] client 3013 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.309579 [Database] client 3014 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.327512 [Database] client 3015 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.345489 [Database] client 3016 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.364629 [Database] client 3017 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.386469 [Database] client 3018 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.406519 [Database] client 3019 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.430539 [Database] client 3020 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.449571 [Database] client 3021 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.470719 [Database] client 3022 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.490668 [Database] client 3023 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.509531 [Database] client 3024 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.535549 [Database] client 3025 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.554483 [Database] client 3026 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.572544 [Database] client 3027 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.592572 [Database] client 3028 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.607488 [Database] client 3029 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.626547 [Database] client 3030 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.646523 [Database] client 3031 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.664523 [Database] client 3032 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.688497 [Database] client 3033 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.707568 [Database] client 3034 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.726532 [Database] client 3035 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.741588 [Database] client 3036 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.764570 [Database] client 3037 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.788537 [Database] client 3038 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.809576 [Database] client 3039 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.834583 [Database] client 3040 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.851625 [Database] client 3041 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.870566 [Database] client 3042 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.888593 [Database] client 3043 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.903569 [Database] client 3044 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.921480 [Database] client 3045 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.934601 [Database] client 3046 initialized with balance 10 (bolt)
[Node 5] 2025/12/10 19:11:46.953564 [Database] client 3047 initialized with balance 10 (bolt)
