[Node 2] 2025/12/10 19:11:40.000600 [Database] client 65 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.015464 [Database] client 66 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.032420 [Database] client 67 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.052497 [Database] client 68 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.066489 [Database] client 69 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.080484 [Database] client 70 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.096537 [Database] client 71 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.112502 [Database] client 72 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.130434 [Database] client 73 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.146449 [Database] client 74 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.162471 [Database] client 75 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.178491 [Database] client 76 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.193474 [Database] client 77 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.210441 [Database] client 78 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.227537 [Database] client 79 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.242436 [Database] client 80 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.262482 [Database] client 81 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.282537 [Database] client 82 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.302563 [Database] client 83 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.323574 [Database] client 84 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.342471 [Database] client 85 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.362523 [Database] client 86 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.377502 [Database] client 87 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.393016 [Database] client 88 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.407615 [Database] client 89 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.425538 [Database] client 90 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.445480 [Database] client 91 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.463937 [Database] client 92 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.479510 [Database] client 93 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.497532 [Database] client 94 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.515499 [Database] client 95 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.533560 [Database] client 96 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.546588 [Database] client 97 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.560661 [Database] client 98 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.578594 [Database] client 99 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.596596 [Database] client 100 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.614501 [Database] client 101 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.632445 [Database] client 102 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.650655 [Database] client 103 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.668651 [Database] client 104 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.686524 [Database] client 105 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.704496 [Database] client 106 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.722571 [Database] client 107 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.740745 [Database] client 108 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.759577 [Database] client 109 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.776561 [Database] client 110 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.794974 [Database] client 111 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.813438 [Database] client 112 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.827445 [Database] client 113 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.842361 [Database] client 114 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.858460 [Database] client 115 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.874430 [Database] client 116 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.890478 [Database] client 117 initialized with balance 10 (bolt)
[Node 2] 2025/12/10 19:11:40.906473 [Database] client 118 initialized with balance 10 (bolt)
