[Node 8] 2025/12/10 19:11:53.471889 Node 8: initializing at localhost:8008 with 9 peers
[Node 8] 2025/12/10 19:11:53.478934 [Database] opening BoltDB at data/node-8.db
[Node 8] 2025/12/10 19:11:53.575672 Node 8: BoltDB initialized at data/node-8.db
[Node 8] 2025/12/10 19:11:53.582789 Node 8: no shard overrides loaded (open config/overrides.json: no such file or directory)
[Node 8] 2025/12/10 19:11:53.585799 [Database] client 6001 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.585806 Node 8: leader timeout monitor running
[Node 8] 2025/12/10 19:11:53.614745 [Database] client 6002 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.642746 [Database] client 6003 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.662640 [Database] client 6004 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.686706 [Database] client 6005 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.706700 [Database] client 6006 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.733762 [Database] client 6007 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.759740 [Database] client 6008 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.786823 [Database] client 6009 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.814738 [Database] client 6010 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.840765 [Database] client 6011 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.859756 [Database] client 6012 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.891748 [Database] client 6013 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.926751 [Database] client 6014 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.944727 [Database] client 6015 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:53.997701 [Database] client 6016 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.020711 [Database] client 6017 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.050712 [Database] client 6018 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.072751 [Database] client 6019 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.099615 [Database] client 6020 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.140578 [Database] client 6021 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.174650 [Database] client 6022 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.196574 [Database] client 6023 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.226664 [Database] client 6024 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.253604 [Database] client 6025 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.284682 [Database] client 6026 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.315669 [Database] client 6027 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.343639 [Database] client 6028 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.367673 [Database] client 6029 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.386781 [Database] client 6030 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.406688 [Database] client 6031 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.438710 [Database] client 6032 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.469699 [Database] client 6033 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.495757 [Database] client 6034 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.520648 [Database] client 6035 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.546671 [Database] client 6036 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.575588 [Database] client 6037 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.604665 [Database] client 6038 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.623706 [Database] client 6039 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.654665 [Database] client 6040 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.686748 [Database] client 6041 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.710605 [Database] client 6042 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.734645 [Database] client 6043 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.758753 [Database] client 6044 initialized with balance 10 (bolt)
[Node 8] 2025/12/10 19:11:54.777673 [Database] client 6045 initialized with balance 10 (bolt)
